Названия;Цена;Фото;Ссылка на товар
Смартфон Apple iPhone SE 64GB 2020 (PRODUCT)RED;Цена:49 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2388_0_1.jpg;https://www.sulpak.kg/g/smartfon_apple_iphone_64gb_productred_77_2388
Смартфон Huawei P smart 2021 Crush Green;Цена:19 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2775_5_1.jpg;https://www.sulpak.kg/g/smartfon_huawei__p_smart_2021_crush_green_p_smart_2021_crush_green_77_2775
Смартфон Huawei Y7 2019 32GB Aurora Blue;Цена:13 940 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_1838_0.jpg;https://www.sulpak.kg/g/smartfon_huawei_y7_2019_dub_lx1_aurora_blue
Смартфон Vivo Y12 Aqua blue;Цена:14 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2215_0_1.jpg;https://www.sulpak.kg/g/smartfon_vivo_y12_aqua_blue_77_2215
Смартфон Apple iPhone 7 Jet Black 32GB;Цена:29 940 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_1417_0_1.jpg;https://www.sulpak.kg/g/smartfon_apple_iphone_7_jet_black_32_gb
Смартфон Samsung Galaxy A51 128GB Silver;Цена:29 940 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2537_0_1.jpg;https://www.sulpak.kg/g/smartfon_samsung_sm_a515fmswskz_galaxy_a51_128gb_silver_77_2537
Смартфон Xiaomi Mi 11 Lite 6/128GB Bubblegum Blue;Цена:25 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2922_0_1.jpg;https://www.sulpak.kg/g/smartfon_xiaomi_mi_11_lite_6128gb_bubblegum_blue_77_2922
Смартфон Huawei P30 Lite 256GB Midnight Black;Цена:29 940 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_2324_0_1.jpg;https://www.sulpak.kg/g/smartfon_huawei_p30_lite_77_2324
Смартфон Huawei Y6 2019 32GB Sapphire Blue;Цена:9 940 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_1836_1_1.jpg;https://www.sulpak.kg/g/smartfon_huawei_y6_2019_mrd_lx1f_sapphire_blue
Смартфон Xiaomi Mi 11 8/256GB Midnight Gray;Цена:79 990 сом;https://object.pscloud.io/cms/cms/Photo/img_0_77_3030_4_6.png;https://www.sulpak.kg/g/smartfon_xiaomi_mi_11_8_256gb_midnight_gray_77_3030
